partID,prolificID,ExpID,WrittenLesson,DBTIME
6168a5f9948e7f5bcbc608e2,6168a5f9948e7f5bcbc608e2,TEACH_RL_TEACHER_NoReversal,"To succeed, start by experimenting with different choices and observe the outcomes to identify patterns. Focus on the choices that yield the highest rewards and stick with them. Adapt if patterns change and keep detailed notes of your decisions and results. Patience and careful observation are key. Good luck!",14:30:04
614ae8dbcd4d31f05be56645,614ae8dbcd4d31f05be56645,TEACH_RL_TEACHER_NoReversal,"The concept of the game is to get as many points as you can. these points will turn into a bonus, so you want to get as much as you can. The process is a simple one. You will be shown a pair of different pictures. You will need to decide which one you think will hold the most points. Once you have clicked, it will show you its worth. There are several pairs of pictures and they will keep coming round. Try to remember, which picture or side gives you the best result! Good luck!",14:34:24
6651e404a7e3f9c26fe432b2,6651e404a7e3f9c26fe432b2,TEACH_RL_TEACHER_NoReversal,"The aim of the game is to select the winning pattern. There are no rules. It is completely random, or is it? Can you figure out the puzzle? Is there a way of winning? Select the correct pattern, you win, however select the wrong pattern, and it will cost you! ",14:35:00
59a02221ec2f75000124edea,59a02221ec2f75000124edea,TEACH_RL_TEACHER_NoReversal,"The task requires you to make a selection between two shape options on a number of different slides. The shapes come in different colour tones and the layout of the shape also differs on each occasion. After each selection you will be able to see how each shape scored in points and this will be your guide to choosing future shapes. One shape has the potential to give you more points than the other shape so it is imperative that you pay attention to the colour and form of the shape to learn which ones are more profitable. On occasion, both shapes will earn you a negative score and there is nothing that you can do about this.

In my experience, certain shapes were better at giving a consistently higher score such as the black shape and some gave a consistently negative score such as the mustard shape. In my game I made a correlation between shapes which had a gap running between them as they generally were better performers. However, you will soon learn the differences which are specific to your game and the quicker you make the links the better your overall score will be.",14:36:43
5b6088371f52240001676b36,5b6088371f52240001676b36,TEACH_RL_TEACHER_NoReversal,"You will be shown two different symbols. Each symbol can have the same value or different values. You must select a symbol and the value of the symbol chosen and the unchosen symbol will be revealed. 
The strategy I chose was to see if there was any pattern and I switched from left to right depending on which had the higher result. I would then continue selecting the symbol from that side until either my chosen symbol hit the highest value or became a minus that was less than the other side. ",14:37:46
5fd76b7d246a3705a25c9a94,5fd76b7d246a3705a25c9a94,TEACH_RL_TEACHER_NoReversal,"This game gives you the choice of two random shapes to choose from.

You must pick one shape and then you will be shown how much you have earned in points.

Different shapes have different values and it's your job to try and earn as many points as possible.

You will need to try and learn the different scores of the shapes to always pick the highest scoring ones.

But sometimes the value might change depending on the combination of the shape.

Keep trying different options and keep trying to remember! You might like to name them or describe them some way in your mind so you have a word to say when you see them.

Remember to try and score as many points as possible - good luck!",14:38:03
60f059aff7f931e2d83bacb5,60f059aff7f931e2d83bacb5,TEACH_RL_TEACHER_NoReversal,"In this task you will be presented with 2 different shapes each time. When you first start going through, you start to get a feel of what symbols will be of greater value than their counterpart. You have extensive opportunty to get a “feel” for the colours and shapes. I woud recommend the first few goes are to understand the game and do not take too much to heart when some don’t go your way. However I found that the more I progressed, the more I could see which shapes and colours would create more value. I didnt see a pattern until later on so I reccomend looking for the repetitive actions each time.",14:38:43
5b266738007d870001c7c360,5b266738007d870001c7c360,TEACH_RL_TEACHER_NoReversal,"Not going to lie, I struggled to find a pattern here that could definitely help BUT this is what I theorized! The simple symbols seemed to be the better picks as well as the symbol that is the darkest colour between the two choices. This wasn't always the case but that's what I did for the most part.",14:39:27
6346a9acc2a832b58c8e7229,6346a9acc2a832b58c8e7229,TEACH_RL_TEACHER_NoReversal,"When going through the task, try to focus on the symbols that have the most amount of impact on your final score (namely the plus of minus 10p symbols)

The rest will have a minor effect on your final total, but focusing on remembering these symbols will give you the best chance of racking up a good score, and protecting it!",14:39:37
63ced24e3ebc3a9a76f0b7b6,63ced24e3ebc3a9a76f0b7b6,TEACH_RL_TEACHER_NoReversal,"During this task, you will have the choice between two shapes to pick, which have different values attached to it (both positive and negative).
The values range from -10p,-1p,0p,1p and 10p.

Your job is to select the one shape which generates the highest value (e.g. 1p, 10p). Once you select a shape, the values for both shapes will be shown. The shapes will be repeated throughout, so over time you will be able to understand which values generate the highest values and those that don't.

At the end of the task, you will be presented with the total bonus number of points, where 1 point is equivalent to 0.1p.

Here are also some things to be mindful of:
-the values of the shapes do change over time, so be mindful of the new value it generates
-some trials may happen where the shapes generate the same value - you would still need to select a shape.
",14:39:45
