"partID","prolificID","ExpID","WrittenLesson","DBTIME"
"65ddeb0d1a44628b53924756","65ddeb0d1a44628b53924756","TEACH_RL_TEACHER_NoReversal_Pa","I genuinely had no strategy for this other than identifying which shapes generally gave more points through trial and error, and usually clicking those shapes. Sometimes those shapes gave 0 points, or occasionally minus 10 points. On the whole you should end up with a positive amount of points which will give you some bonus payment. Sorry I can't be more helpful, I don't know if there is any real pattern or not other than particular shapes tend to give the same amount of points each time you click them. Good luck!","16:10:02"
"6697c93e8cc18f3d01134c61","6697c93e8cc18f3d01134c61","TEACH_RL_TEACHER_NoReversal_Pa","I have struggled to find an effective strategy. However i had the most success with alternating my selections at the beginning and making notes of which symbols took points away from me. I would avoid these symbols going forward to try and avoid the largest deductions. ","16:10:09"
"5c3f0f042455ae000154cee9","5c3f0f042455ae000154cee9","TEACH_RL_TEACHER_NoReversal_Pa","Go through the first few sets and you'll find that certain symbols provide a decent payoff or won't cause  a loss.  If you consistently choose the symbols you intially tested, you'll come out ahead.  Occasionally the position of the symbol will change sides, which seemed to have a slight effect on ponts, but in general, the strategy above will give you points.","16:10:21"
"596247c7b4a49e0001710d12","596247c7b4a49e0001710d12","TEACH_RL_TEACHER_NoReversal_Pa","You will be presented with two shapes. Your task is to choose one in the hopes of gaining a favorable reward. One shape will give you a bonus of +10,+1 or +0 whilst the other will give you a negative amount. I tried to test different strategies but don't know if any were especially successful - For example, choosing contrasting sides each time, choosing the darker colour of the shape or trying to find + symbols in the shapes. You may want to try these methods out yourself on your shapes but i suspect it may be a random occurrence rather than a code. Good Luck","16:10:25"
"65c8d9158f76694c5125fc93","65c8d9158f76694c5125fc93","TEACH_RL_TEACHER_NoReversal_Pa","For this task, I found that typically the symbols with the better outcomes remained the better option throughout. So the pairings will be the same, always choose the same symbol. Sometimes the outcome may be 0 or even -1, but what you really want to avoid is the dreaded -10. Go through the first round or two, and choose each symbol in the different pairings to see how they match up as far as which one is better. This may take a few rounds to establish and you may be tempted to try out the opposite symbols at times, but remain steadfast. 
 ","16:10:27"
"5717864c94d4fc001297198d","5717864c94d4fc001297198d","TEACH_RL_TEACHER_NoReversal_Pa","Although I could not find a pattern in the shapes, these are the colors I picked throughout the game. Please see below. 
Purple
Green
Blue
Pink
Orange
I did not pay any attention to shapes, I only went of colors. Anytime any of these colours where showing, I picked one. ","16:10:29"
"5b34b0d41d2f710001fbbcd5","5b34b0d41d2f710001fbbcd5","TEACH_RL_TEACHER_NoReversal_Pa","In each round you will be presented with two options to click on, each carries a prize reward which can be +/- or 0. Once you have chosen a symbol and clicked on it, it's value will be displayed however the value of the other symbol will not.
The values assigned to each symbol do not remain constant, however it appears that a large % of the time they are consistent eg. symbol number 1 may be worth 10p 75% of the time and 0p 25% of the time.
A suitable strategy appears to be to spend the first dozen or so rounds learning which symbols tend to have positive values or 0 attached to them (some rounds appear to be a choice between 0 and negative values) &amp; then stick to picking those symbols even when they briefly change.","16:10:37"
"66a643090a4f33f35327eeaa","66a643090a4f33f35327eeaa","TEACH_RL_TEACHER_NoReversal_Pa","Each symbol has a hidden value of a positive or negative amount of points. You have to try and predict which of the two symbols shown will give you the highest points, then it shows you the value of the one you chose but not the points value of the other symbol. 
The symbols will be often paired together and appear as a pair again and again. It is important to remember which one wins in each situation, what helped me to remember each symbol was to give them a name based on what their shape reminds me of e.g. a butterfly or a teardrop. Then I found it easier to remember which one wins out of a pair, I couldn't figure out exactly but I think that them being on the left or not changes whether each one wins. Also there are lots of ones with negative numbers so if one level gives you zero points don't assume that that's not the highest score you could have gotten. ","16:11:15"
"66a51683d81a2be793d8f33b","66a51683d81a2be793d8f33b","TEACH_RL_TEACHER_NoReversal_Pa","Hello student,

I managed an okay score of 102 by following a pretty straightforward strategy while trying a few different things in the process to hopefully come up with a concrete strategy for you.

First of all, I believe the colours and shapes are assigned their values completely randomly. Colour, shape etc are random, so don't let a smiley face trick you into thinking it will provide positive points!

The best way to gain consistent points is by identifying the highest positive and negative tiles. Once they've been identified, the others will have little effect. For me, these were +10 and -10.

Once you've identified make sure you click/don't click them on each round.

The trickiest part is that the values for each pair of cards switch every now and then. I tried to figure out how often this happens but failed to, perhaps you could be more successful?

Importantly, I still gained a positive score by nearly always clicking my +10 tile while trying to predict when the values would switch.

Good luck!","16:11:53"
"5b6b2c3156558d0001678ffc","5b6b2c3156558d0001678ffc","TEACH_RL_TEACHER_NoReversal_Pa","You have to pick one of the pictures. You want the one with the highest points.

At the start, just experiment but you'll quickly see a pattern emerge. It's pretty consistent so when you have figured it out it's easy. It's very important to get the +10s and avoid the -10s","16:12:48"
